date_,city_name,order_id,cart_id,dim_customer_key,procured_quantity,unit_selling_price,total_discount_amount,product_id,product_category,age,gender,income_bracket,delivery_time_days,stock_level,total_weighted_landing_price
03-06-2024,Delhi,3688914,200728,17523,6,818.69,109.04,574365,Books,29,Male,High,7,869,1103.55
24-11-2024,Chennai,7193565,582438,46933,1,454.24,198.32,464767,Books,19,Female,Low,9,29,4945.82
06-07-2023,Chennai,6632727,653726,23620,1,892.75,127.17,283512,Home,53,Blanks,High,7,843,3707.14
25-09-2024,Hyderabad,6534479,319653,23606,2,266.51,59.68,986004,Books,30,Blanks,High,2,328,4639.6
16-09-2023,Mumbai,9441721,494653,94029,6,475.97,26.19,199154,Home,42,Male,Low,8,39,4967.75
29-10-2024,Chennai,4874785,952876,85651,2,244.73,142.46,562087,Books,45,Blanks,Low,2,692,4083.86
08-02-2025,Kolkata,1885957,417623,20398,4,961.65,61.63,790060,Electronics,52,Male,High,6,21,542.02
27-08-2023,Delhi,3198412,187566,70609,3,125.84,31.56,262560,Grocery,49,Blanks,Middle,7,417,4818.31
13-02-2025,Chennai,9833848,550115,74911,6,273.23,138.32,624581,Grocery,32,Female,Middle,2,216,1825.83
27-10-2023,Hyderabad,2674400,664856,10755,9,492.28,20.07,371450,Books,40,Male,High,6,967,4794.95
02-08-2024,Hyderabad,3881000,999497,14632,6,262.88,9.89,259806,Electronics,25,Male,Middle,6,241,4190.71
02-08-2023,Delhi,6111134,330900,66781,1,70.66,15.79,571842,Grocery,60,Female,Middle,5,761,1657.83
09-01-2024,Hyderabad,7831159,347134,73278,3,149.92,162.84,299070,Electronics,40,Male,Middle,4,461,4128.01
07-02-2024,Kolkata,7085298,584818,47171,7,974.67,43.51,493009,Clothing,54,Blanks,High,8,89,4077.46
30-03-2025,Bengaluru,8342167,246942,56785,5,145.71,156.69,707504,Grocery,58,Blanks,Middle,5,885,4371.19
12-10-2024,Kolkata,8247425,225416,29721,3,662.84,192.48,103240,Grocery,29,Blanks,Middle,4,777,3449.19
09-08-2023,Mumbai,3953426,178079,41438,8,365.42,147.96,269767,Books,27,Female,Middle,8,466,2723.63
28-11-2023,Kolkata,7998255,920313,54837,2,789.28,190.05,750668,Grocery,46,Blanks,Low,1,81,4019.72
31-03-2024,Delhi,6012628,647947,88883,3,474.89,54.08,499985,Electronics,60,Female,High,4,990,4219.44
17-12-2023,Hyderabad,4486874,186054,33943,3,157.67,129.89,543941,Electronics,59,Male,High,5,761,3063.1
19-10-2024,Chennai,8535868,169932,55666,2,794.15,81.46,815190,Books,18,Female,High,3,253,2944.26
02-08-2024,Bengaluru,2448544,331652,96333,5,441.31,92.24,273778,Clothing,56,Male,Middle,1,884,3294.16
17-03-2024,Mumbai,8356866,431699,17859,6,285.37,33.93,254420,Home,58,Blanks,Low,3,744,4986.49
31-10-2023,Bengaluru,2207893,754434,24105,4,683.6,19.54,595614,Clothing,60,Female,Low,9,655,3198.74
28-08-2023,Chennai,7978964,790184,61526,5,926.92,99.28,288892,Clothing,65,Male,High,2,812,4728.04
21-10-2024,Mumbai,9594322,335516,83990,3,883.29,129.41,986467,Home,48,Male,Middle,8,199,1050.46
10-05-2024,Hyderabad,7967384,987980,57737,2,921.77,92.59,737612,Books,24,Blanks,High,8,480,4400.54
08-08-2024,Hyderabad,3555498,705288,36263,6,154.6,196.93,111669,Electronics,64,Male,Middle,1,491,3921.57
09-06-2024,Delhi,5713479,204871,18205,7,783.78,77.57,624516,Electronics,48,Female,High,9,47,2176.66
14-06-2024,Bengaluru,7426565,813001,26181,5,108.6,170.82,476665,Clothing,36,Blanks,Low,6,381,3881.7
23-08-2024,Bengaluru,8055755,920535,34828,1,102.6,141.52,722424,Electronics,34,Male,Low,7,321,4548.6
09-04-2024,Kolkata,9045991,356178,78969,8,270.69,17.04,827345,Clothing,67,Female,High,5,238,836.91
06-07-2024,Chennai,5710558,307359,98041,3,591.8,166,439598,Grocery,35,Blanks,High,9,430,2113.53
17-09-2024,Bengaluru,6390306,177292,72453,5,775.67,96.14,391994,Books,58,Male,High,7,640,399.3
13-04-2024,Delhi,5539659,669774,53925,3,808.86,10.07,420444,Grocery,42,Blanks,Low,4,540,2990.42
17-02-2024,Hyderabad,3759590,653957,81222,1,751.35,163.12,557608,Clothing,30,Blanks,High,2,67,940.74
06-10-2023,Mumbai,8966485,782037,55497,5,289.52,142.63,535691,Home,19,Female,Middle,3,167,1399.92
08-08-2024,Kolkata,9865459,898885,77652,7,317.12,125.46,540427,Grocery,41,Male,High,1,212,949.28
04-10-2024,Delhi,7260251,835205,87526,6,229.76,124.37,481486,Electronics,49,Female,Middle,4,342,4884.29
02-04-2025,Bengaluru,4419344,255928,91591,1,894.21,22.35,854426,Books,51,Male,High,5,589,3091.28
07-07-2023,Chennai,4266536,549329,71387,1,955.74,179.7,748130,Electronics,47,Female,High,1,207,2246.6
19-07-2023,Bengaluru,3361112,314257,37849,4,995.53,11.91,310622,Clothing,37,Male,High,9,597,4013.49
28-09-2023,Delhi,4097292,752651,90490,5,442.26,118,397399,Home,42,Male,High,4,625,1638.12
29-05-2024,Chennai,4158423,462370,16613,4,54.11,133.68,312562,Home,28,Female,Low,1,470,1086.72
28-04-2025,Hyderabad,5495200,918644,52021,7,796.82,118.01,445293,Clothing,58,Male,Middle,4,521,3785.14
01-04-2024,Bengaluru,2146650,197173,59313,5,507.66,71.1,903003,Electronics,54,Blanks,Middle,2,100,978.59
14-10-2023,Kolkata,7083746,492323,44857,4,119.98,91.87,784552,Books,64,Male,Low,5,587,4393.61
22-03-2025,Kolkata,8318028,756791,31947,2,866.84,182.37,189346,Clothing,31,Blanks,High,3,195,131.2
04-01-2024,Bengaluru,6362826,194930,58482,5,399.28,90.52,586801,Electronics,49,Female,Middle,2,21,2880.18
17-08-2023,Bengaluru,6617529,171174,22957,8,978.05,94.32,350711,Books,20,Male,Middle,6,346,2311.8
19-11-2023,Delhi,2812947,233896,92072,4,60.35,160.2,792375,Books,61,Male,Middle,8,975,4760.43
25-03-2024,Bengaluru,9609092,406144,55141,5,331.6,128.64,274074,Clothing,26,Male,Low,5,351,1801.75
07-12-2023,Chennai,8924905,300675,20942,6,248.81,53.36,947526,Clothing,39,Male,Low,1,470,4774.25
05-11-2024,Hyderabad,6161869,605666,20792,8,854.95,55.8,725667,Home,61,Blanks,High,2,439,3151.87
12-06-2024,Hyderabad,4831348,221205,60444,1,994.48,121.09,242761,Grocery,46,Blanks,High,6,367,1795.53
26-12-2024,Mumbai,1345770,229710,42564,7,635.81,102.92,534405,Electronics,36,Male,Middle,1,463,3957.21
23-12-2023,Hyderabad,8572107,397834,21309,5,183.38,181.73,589869,Clothing,66,Male,Low,4,842,2069.67
25-07-2024,Kolkata,5576400,127741,96035,6,486.98,54.62,913744,Home,45,Male,Middle,4,612,4166.41
02-04-2025,Hyderabad,9742113,312561,61069,5,890.11,54.42,778976,Home,55,Female,Middle,6,304,3909.64
08-07-2024,Hyderabad,2960325,768099,20541,8,472.25,8.2,563608,Electronics,67,Male,Middle,2,758,1248
10-11-2023,Hyderabad,4132137,702025,98013,9,935.98,158.79,911731,Home,51,Blanks,High,3,693,1583.18
17-08-2023,Chennai,4085289,214546,76208,8,93.41,23.79,116283,Grocery,64,Female,High,3,153,4217.48
23-04-2025,Mumbai,7754085,922942,42095,1,952.25,29.04,857704,Home,68,Female,Low,2,764,3599.52
13-04-2025,Mumbai,6062735,328259,66836,2,429.65,157.72,347745,Electronics,28,Female,High,6,400,4357.38
11-11-2023,Kolkata,2558040,889545,90953,1,396.85,111.18,785012,Clothing,40,Female,Low,2,568,3850.78
28-04-2025,Kolkata,1620086,466187,12427,9,586.28,18.42,572133,Home,67,Female,Middle,9,743,4185.5
